profile_id,year,id,wtssps,age,sex,racecen1,hispanic,degree,income16,hompop,class,region,srcbelt,partyid,polviews,relig,reborn,reliten,consci
p00001,2024,2211,0.8345233129212459,68,male,white,not hispanic,graduate,"$170,000 or over",2,middle class,west,not available in this year,strong republican,extremely conservative,catholic,no,NA,NA
p00002,2024,232,1.1260295400287164,72,male,asian,not hispanic,graduate,"$17,500 to $19,999",2,working class,west,not available in this year,strong democrat,liberal,other eastern religions,NA,NA,a great deal
p00003,2024,525,3.5447331011590166,40,male,some other race,not hispanic,high school,"$90,000 to $109,999",NA,working class,west,not available in this year,"independent (neither, no response)",slightly conservative,muslim/islam,NA,not very strong,hardly any
p00004,2024,1469,2.155637714259012,60,male,white,not hispanic,bachelor's,"$170,000 or over",2,middle class,west,not available in this year,"independent (neither, no response)",slightly conservative,none,no,NA,a great deal
p00005,2024,2114,1.1277539800302046,60,female,white,not hispanic,less than high school,"$12,500 to $14,999",3,working class,south,not available in this year,"independent, close to democrat","moderate, middle of the road",protestant,yes,NA,only some
p00006,2022,1659,7.19593197188095,56,male,white,not hispanic,high school,"$170,000 or over",NA,middle class,south,"other urban (counties having towns of 10,000 or more)",strong republican,conservative,protestant,yes,NA,only some
p00007,2024,352,1.3842518041857956,38,female,black or african american,not hispanic,graduate,"$150,000 to $169,999",NA,middle class,midwest,not available in this year,"independent, close to democrat",slightly liberal,protestant,yes,not very strong,NA
p00008,2021,3382,0.6404867296216354,33,female,white,"another hispanic, latino, or spanish origin",high school,"$35,000 to $39,999",4,middle class,midwest,central city of the remainder of the 100 largest smsas,"independent (neither, no response)",slightly liberal,none,yes,not available in this year,only some
p00009,2024,554,2.3636133793492746,42,male,asian,not hispanic,bachelor's,"$130,000 to $149,999",1,working class,west,not available in this year,"independent (neither, no response)","moderate, middle of the road",none,no,NA,NA
p00010,2024,2488,1.0653726218712698,71,male,black or african american,not hispanic,high school,"$22,500 to $24,999",2,working class,south,not available in this year,not very strong democrat,slightly conservative,protestant,yes,NA,NA
p00011,2022,1698,9.810652810002825,78,male,white,not hispanic,high school,"$50,000 to $59,999",3,working class,midwest,central city of the remainder of the 100 largest smsas,"independent (neither, no response)","moderate, middle of the road",protestant,no,NA,NA
p00012,2024,1742,0.8462904119900437,75,male,white,not hispanic,associate/junior college,"$75,000 to $89,999",2,middle class,south,not available in this year,"independent, close to republican",slightly conservative,protestant,no,NA,only some
p00013,2022,1065,2.643878289835763,23,female,white,cuban,high school,"$35,000 to $39,999",NA,middle class,south,suburbs of 12 largest smsas,not very strong republican,"moderate, middle of the road",none,no,no religion,only some
p00014,2018,2037,0.44325608111381165,37,male,white,not hispanic,high school,"$25,000 to $29,999",1,working class,west,central city of the remainder of the 100 largest smsas,not very strong democrat,slightly liberal,none,no,no religion,NA
